barcode,category,categoryCode,name,topBrand,brandCode,id_oid,cpg_ref,cpg_oid
511111803676,null,null,Glaceau smartwater,null,null,5332f769e4b03c9a25efd121,Cpgs,5332f5ebe4b03c9a25efd0a8
511111703495,null,null,LandShark,null,null,5332f7afe4b03c9a25efd13c,Cpgs,5332f7a7e4b03c9a25efd134
511111917830,Bread & Bakery,BREAD_AND_BAKERY,Oroweat,0,OROWEAT,5fb82f87be37ce522e165ce8,Cogs,5fb6b608be37ce522e165cb9
511111403562,null,null,Bud Light,null,null,5332f7a8e4b03c9a25efd135,Cpgs,5332f7a7e4b03c9a25efd134
511111701576,Snacks,null,Rold Gold,null,ROLD GOLD,585a96eee4b03e62d1ce0e8c,Cogs,5332f5fbe4b03c9a25efd0ba
511111119838,Baking,BAKING,test brand @1611088503815,0,TEST BRANDCODE @1611088503815,60074277be37ce360be63a02,Cogs,60074277be37ce360be639fe
511111717034,Baking,BAKING,test brand @1602694015991,null,TEST BRANDCODE @1602694015992,5f872b80be37ce66db5dd979,Cogs,5f872b7fbe37ce66db5dd975
511111815174,Baking,BAKING,test brand @1595968942895,null,TEST BRANDCODE @1595968942896,5f208daebe37ce7958c59521,Cogs,5f208daebe37ce7958c59520
511111104308,Beverages,null,V8 Splash,0,V8 SPLASH,5ab1314de4b0915382df761a,Cogs,5a734034e4b0d58f376be874
511111404675,Personal Care,null,Kotex,0,KOTEX,5bd2016990fa074576779a18,Cogs,550b2565e4b001d5e9e4146f
511111505082,Magazines,null,Midwest Living,null,511111505082,5d64191ea3a018514994f42b,Cogs,5d5d4fd16d5f3b23d1bc7905
511111901211,Deli,null,Oscar Mayer Carving Board,null,null,58863e28e4b02187f85cdacf,Cogs,559c2234e4b06aca36af13c6
511111405467,Beverages,null,Ocean Spray Juices,null,OCEAN SPRAY,5d66df24a3a018093ab3472b,Cogs,5332f5fbe4b03c9a25efd0ba
511111305798,Health & Wellness,null,ONE A DAY® ESSENTIAL,null,511111305798,5da608f61dda2c3e1416ae8e,Cogs,53e10d6368abd3c7065097cc
511111202394,Frozen,null,Bagel Bites,0,BAGEL BITES,57d95749e4b0ac389136a2b2,Cogs,559c2234e4b06aca36af13c6
511111405184,null,null,Do It Yourself,null,null,5d658fca6d5f3b23d1bc7912,Cogs,53e10d6368abd3c7065097cc
511111601951,Dairy,null,Polly-O,0,POLLY-O,57ebc2b7e4b0ac389136a347,Cogs,559c2234e4b06aca36af13c6
511111202165,Beverages,null,Gevalia Iced Coffee,0,null,57ebbfa9e4b0ac389136a331,Cogs,559c2234e4b06aca36af13c6
511111900054,Beauty & Personal Care,null,Sunsilk,null,SUNSILK,5a5d2c59e4b06ba572cf24a9,Cogs,53e10d6368abd3c7065097cc
511111401209,Baking,null,Baker's,0,BAKER'S,5887a051e4b02187f85cdad0,Cogs,559c2234e4b06aca36af13c6
511111504344,Grocery,null,Ecce Panis,0,ECCE PANIS,5ab1528ce4b0915382df761c,Cogs,5a734034e4b0d58f376be874
511111405306,Magazines,null,Do It Yourself Special Edition Magazine,null,511111405306,5d66d6016d5f3b6188d4f047,Cogs,5d5d4fd16d5f3b23d1bc7905
511111315230,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,AIR WICK®,0,AIR WICK,5f21c54abe37ce7958c59528,Cogs,5f10c05cbe37ce238c6cabaf
511111903345,Beer Wine Spirits,null,Hamm's Beer,0,HAMM'S,5332f7fde4b03c9a25efd168,Cpgs,5332f709e4b03c9a25efd0f1
511111202516,null,null,Corona,null,null,57c08242e4b0718ff5fcb032,Cpgs,5332f7a7e4b03c9a25efd134
511111716594,Baking,BAKING,test brand @1599849713740,null,TEST BRANDCODE @1599849713740,5f5bc4f1be37ce17125ac0e9,Cogs,5f5bc4f1be37ce17125ac0e8
511111703105,null,null,Bellatoria,null,null,5332fa12e4b03c9a25efd1e6,Cpgs,5332fa12e4b03c9a25efd1e7
511111306238,Breakfast & Cereal,null,Monster's Cereal,null,MONSTERS CEREAL,5dc0351a1dda2c0ad7da64aa,Cogs,5332f5f3e4b03c9a25efd0ae
511111905523,Beverages,null,Tazo Bottled Teas,null, TAZO BOTTLED TEAS,5d66e2d46d5f3b6188d4f056,Cogs,5332f5fbe4b03c9a25efd0ba
